"ordem_preliminar","arquivo","largura","altura","tamanho_mb","caminho"
"048","gerada-048-ig_0f7a907d66059f300169fd6032f9a8819aa9981ea059dbd9ca.png","1672","941","2,1","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-048-ig_0f7a907d66059f300169fd6032f9a8819aa9981ea059dbd9ca.png"
"049","gerada-049-ig_0f7a907d66059f300169fd608e7f88819a89725d4276c2ab13.png","1672","941","1,88","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-049-ig_0f7a907d66059f300169fd608e7f88819a89725d4276c2ab13.png"
"050","gerada-050-ig_0f7a907d66059f300169fd60eb7878819a99124c6de576ca69.png","1672","941","1,96","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-050-ig_0f7a907d66059f300169fd60eb7878819a99124c6de576ca69.png"
"051","gerada-051-ig_0f7a907d66059f300169fd83bba988819abe5ac68ac90ad5bc.png","1672","941","2,33","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-051-ig_0f7a907d66059f300169fd83bba988819abe5ac68ac90ad5bc.png"
"052","gerada-052-ig_0f7a907d66059f300169fd8524e724819a86a7c56a383c8590.png","1672","941","2,06","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-052-ig_0f7a907d66059f300169fd8524e724819a86a7c56a383c8590.png"
"053","gerada-053-ig_0f7a907d66059f300169fd86102838819a884a22aaa716f238.png","1672","941","2,29","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-053-ig_0f7a907d66059f300169fd86102838819a884a22aaa716f238.png"
"054","gerada-054-ig_0f7a907d66059f300169fd86601d98819ab5c9ca3714cd3551.png","1672","941","1,84","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-054-ig_0f7a907d66059f300169fd86601d98819ab5c9ca3714cd3551.png"
"055","gerada-055-ig_0f7a907d66059f300169fd86b8dd48819ab5bfd3035d832d37.png","1672","941","1,81","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-055-ig_0f7a907d66059f300169fd86b8dd48819ab5bfd3035d832d37.png"
"056","gerada-056-ig_0f7a907d66059f300169fd871755d4819a98613b51fe97f88c.png","1672","941","2,26","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-056-ig_0f7a907d66059f300169fd871755d4819a98613b51fe97f88c.png"
"057","gerada-057-ig_0f7a907d66059f300169fd877fbed0819abc92fc89d23e0eba.png","1672","941","1,85","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-057-ig_0f7a907d66059f300169fd877fbed0819abc92fc89d23e0eba.png"
"058","gerada-058-ig_0f7a907d66059f300169fd87e5c4e8819a9f2e319eedbb1e0f.png","1672","941","1,77","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-058-ig_0f7a907d66059f300169fd87e5c4e8819a9f2e319eedbb1e0f.png"
"059","gerada-059-ig_0f7a907d66059f300169fd88a1a0a8819ab18af46a6a18bd70.png","1672","941","2,51","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-059-ig_0f7a907d66059f300169fd88a1a0a8819ab18af46a6a18bd70.png"
"060","gerada-060-ig_0f7a907d66059f300169fd88f5c330819a95968867e51a1b60.png","1672","941","2,03","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-060-ig_0f7a907d66059f300169fd88f5c330819a95968867e51a1b60.png"
